# z    HI_i     HI_h     HeI_i    HeI_h    HeII_i   HeII_h 
1.0030 7.15e-13 2.74e-12 3.87e-13 3.04e-12 1.05e-14 1.93e-13
1.0500 7.58e-13 2.90e-12 4.11e-13 3.23e-12 1.11e-14 2.03e-13
1.0994 8.00e-13 3.06e-12 4.33e-13 3.40e-12 1.15e-14 2.11e-13
1.1500 8.45e-13 3.23e-12 4.57e-13 3.58e-12 1.20e-14 2.20e-13
1.2043 8.86e-13 3.39e-12 4.80e-13 3.75e-12 1.24e-14 2.27e-13
1.2600 9.30e-13 3.55e-12 5.03e-13 3.92e-12 1.28e-14 2.35e-13
1.3143 9.69e-13 3.70e-12 5.23e-13 4.06e-12 1.31e-14 2.40e-13
1.3700 1.01e-12 3.85e-12 5.44e-13 4.21e-12 1.33e-14 2.45e-13
1.4293 1.05e-12 3.98e-12 5.61e-13 4.33e-12 1.34e-14 2.47e-13
1.4900 1.08e-12 4.13e-12 5.80e-13 4.49e-12 1.34e-14 2.50e-13
1.5493 1.11e-12 4.21e-12 5.93e-13 4.55e-12 1.33e-14 2.47e-13
1.6100 1.14e-12 4.31e-12 6.07e-13 4.63e-12 1.31e-14 2.46e-13
1.6742 1.16e-12 4.39e-12 6.17e-13 4.69e-12 1.28e-14 2.41e-13
1.7400 1.19e-12 4.48e-12 6.26e-13 4.74e-12 1.25e-14 2.36e-13
1.8042 1.20e-12 4.53e-12 6.32e-13 4.75e-12 1.21e-14 2.28e-13
1.8700 1.22e-12 4.58e-12 6.37e-13 4.76e-12 1.16e-14 2.21e-13
1.9392 1.22e-12 4.60e-12 6.37e-13 4.73e-12 1.11e-14 2.11e-13
2.0100 1.23e-12 4.64e-12 6.37e-13 4.72e-12 1.05e-14 2.02e-13
2.0841 1.23e-12 4.58e-12 6.32e-13 4.59e-12 9.75e-15 1.87e-13
2.1600 1.23e-12 4.58e-12 6.27e-13 4.52e-12 9.02e-15 1.74e-13
2.2390 1.23e-12 4.54e-12 6.16e-13 4.39e-12 8.12e-15 1.58e-13
2.3200 1.22e-12 4.48e-12 6.06e-13 4.24e-12 7.29e-15 1.43e-13
2.3991 1.21e-12 4.46e-12 5.91e-13 4.12e-12 6.24e-15 1.26e-13
2.4800 1.19e-12 4.44e-12 5.77e-13 3.99e-12 5.30e-15 1.11e-13
2.5640 1.17e-12 4.18e-12 5.58e-13 3.64e-12 4.07e-15 8.62e-14
2.6500 1.15e-12 4.25e-12 5.41e-13 3.57e-12 3.03e-15 7.22e-14
2.7389 1.12e-12 4.12e-12 5.22e-13 3.34e-12 1.77e-15 5.07e-14
2.8300 1.10e-12 3.98e-12 5.04e-13 3.10e-12 9.18e-16 3.53e-14
2.9239 1.07e-12 3.84e-12 4.88e-13 2.93e-12 3.98e-16 2.37e-14
3.0200 1.05e-12 3.69e-12 4.73e-13 2.75e-12 1.96e-16 1.59e-14
3.1139 1.03e-12 3.57e-12 4.59e-13 2.62e-12 1.21e-16 1.18e-14
3.2100 1.00e-12 3.44e-12 4.46e-13 2.49e-12 8.56e-17 8.86e-15
3.3137 9.77e-13 3.32e-12 4.34e-13 2.39e-12 6.51e-17 7.26e-15
3.4200 9.52e-13 3.20e-12 4.23e-13 2.29e-12 5.19e-17 5.95e-15
3.5287 9.29e-13 3.10e-12 4.13e-13 2.21e-12 4.29e-17 5.04e-15
3.6400 9.06e-13 3.01e-12 4.03e-13 2.13e-12 3.63e-17 4.28e-15
3.7536 8.85e-13 2.92e-12 3.95e-13 2.07e-12 3.12e-17 3.68e-15
3.8700 8.64e-13 2.85e-12 3.87e-13 2.01e-12 2.70e-17 3.16e-15
3.9886 8.46e-13 2.78e-12 3.81e-13 1.97e-12 2.36e-17 2.74e-15
4.1100 8.27e-13 2.73e-12 3.75e-13 1.94e-12 2.07e-17 2.38e-15
4.2335 8.12e-13 2.69e-12 3.72e-13 1.92e-12 1.82e-17 2.07e-15
4.3600 7.97e-13 2.66e-12 3.68e-13 1.90e-12 1.60e-17 1.80e-15
4.4885 7.85e-13 2.64e-12 3.67e-13 1.90e-12 1.40e-17 1.56e-15
4.6200 7.73e-13 2.63e-12 3.65e-13 1.91e-12 1.22e-17 1.35e-15
4.7534 7.65e-13 2.63e-12 3.66e-13 1.92e-12 1.07e-17 1.16e-15
4.8900 7.57e-13 2.64e-12 3.66e-13 1.93e-12 9.42e-18 1.00e-15
5.0333 7.49e-13 2.66e-12 3.67e-13 1.96e-12 8.23e-18 8.66e-16
5.1800 7.41e-13 2.67e-12 3.67e-13 1.98e-12 7.16e-18 7.46e-16
5.3331 7.29e-13 2.65e-12 3.63e-13 1.97e-12 6.16e-18 6.40e-16
5.4900 7.17e-13 2.63e-12 3.59e-13 1.96e-12 5.24e-18 5.49e-16
5.6481 6.65e-13 2.45e-12 3.28e-13 1.80e-12 4.38e-18 4.68e-16
5.8100 6.09e-13 2.14e-12 2.97e-13 1.57e-12 3.54e-18 3.98e-16
5.9730 4.14e-14 2.06e-13 3.16e-14 2.31e-13 2.73e-18 3.37e-16
6.1400 1.76e-15 2.05e-14 2.65e-15 3.51e-14 1.96e-18 2.98e-16
6.3129 4.70e-16 9.83e-15 7.95e-16 1.70e-14 1.33e-18 2.19e-16
6.4900 2.12e-16 4.58e-15 3.53e-16 7.94e-15 9.50e-19 1.49e-16
6.6728 1.33e-16 2.84e-15 2.17e-16 4.93e-15 6.94e-19 1.02e-16
6.8600 9.61e-17 1.82e-15 1.54e-16 3.15e-15 5.17e-19 7.11e-17
7.0526 7.54e-17 1.37e-15 1.20e-16 2.36e-15 3.88e-19 5.02e-17
7.2500 6.17e-17 1.05e-15 9.68e-17 1.79e-15 2.93e-19 3.60e-17
7.4476 5.22e-17 8.54e-16 8.11e-17 1.46e-15 2.23e-19 2.59e-17
7.6500 4.50e-17 6.96e-16 6.94e-17 1.18e-15 1.70e-19 1.86e-17
7.8575 3.93e-17 5.86e-16 6.02e-17 9.95e-16 1.30e-19 1.33e-17
8.0700 3.48e-17 4.95e-16 5.29e-17 8.38e-16 1.01e-19 9.51e-18
8.2923 3.09e-17 4.27e-16 4.66e-17 7.23e-16 7.79e-20 6.80e-18
8.5200 2.75e-17 3.66e-16 4.13e-17 6.20e-16 6.10e-20 4.83e-18
8.7522 2.47e-17 3.18e-16 3.67e-17 5.40e-16 4.83e-20 3.45e-18
8.9900 2.21e-17 2.77e-16 3.28e-17 4.71e-16 3.89e-20 2.48e-18
9.2321 1.99e-17 2.43e-16 2.93e-17 4.15e-16 3.19e-20 1.80e-18
9.4800 1.79e-17 2.14e-16 2.62e-17 3.66e-16 2.65e-20 1.31e-18
9.7320 1.61e-17 1.89e-16 2.34e-17 3.24e-16 2.25e-20 9.77e-19
9.9900 1.45e-17 1.67e-16 2.09e-17 2.87e-16 1.94e-20 7.28e-19
10.2421 1.30e-17 1.49e-16 1.87e-17 2.56e-16 1.70e-20 5.62e-19
10.5000 1.17e-17 1.33e-16 1.67e-17 2.29e-16 1.50e-20 4.36e-19
10.7962 1.03e-17 1.18e-16 1.46e-17 2.04e-16 1.31e-20 3.46e-19
11.1000 9.02e-18 1.05e-16 1.27e-17 1.81e-16 1.14e-20 2.75e-19
11.3964 7.87e-18 9.31e-17 1.10e-17 1.61e-16 9.88e-21 2.24e-19
11.7000 6.79e-18 8.28e-17 9.42e-18 1.44e-16 8.54e-21 1.82e-19
11.9965 5.82e-18 7.41e-17 8.04e-18 1.28e-16 7.37e-21 1.51e-19
12.3000 4.92e-18 6.64e-17 6.75e-18 1.15e-16 6.28e-21 1.26e-19
12.6455 3.99e-18 5.92e-17 5.44e-18 1.03e-16 5.15e-21 1.05e-19
13.0000 3.12e-18 5.28e-17 4.22e-18 9.16e-17 4.06e-21 8.81e-20
13.3457 2.35e-18 4.76e-17 3.16e-18 8.26e-17 3.09e-21 7.41e-20
13.7000 1.66e-18 4.33e-17 2.21e-18 7.51e-17 2.20e-21 6.27e-20
14.0459 1.07e-18 4.01e-17 1.42e-18 6.94e-17 1.43e-21 5.36e-20
14.4000 5.75e-19 3.82e-17 7.56e-19 6.60e-17 7.71e-22 4.72e-20
14.7461 2.08e-19 3.78e-17 2.71e-19 6.53e-17 2.79e-22 4.18e-20
15.1000 1.80e-23 1.20e-17 2.36e-23 2.07e-17 4.86e-26 1.19e-20
